Person_ID,Window_ID,Neck_alpha_2D,Neck_beta_2D,Neck_gamma_2D,Torso_alpha_2D,Torso_beta_2D,Torso_gamma_2D,Right_elbow_2D,Left_elbow_2D,Right_Knee_2D,Left_knee_2D,Right_shoulder_alpha_2D,Right_shoulder_beta_2D,Right_shoulder_gamma_2D,Right_shoulder_elevation_2D,Left_shoulder_alpha_2D,Left_shoulder_beta_2D,Left_shoulder_gamma_2D,Left_shoulder_elevation_2D,Neck_alpha_3D,Neck_beta_3D,Neck_gamma_3D,Torso_alpha_3D,Torso_beta_3D,Torso_gamma_3D,Right_elbow_3D,Left_elbow_3D,Right_Knee_3D,Left_knee_3D,Right_shoulder_alpha_3D,Right_shoulder_beta_3D,Right_shoulder_gamma_3D,Right_shoulder_elevation_3D,Left_shoulder_alpha_3D,Left_shoulder_beta_3D,Left_shoulder_gamma_3D,Left_shoulder_elevation_3D,Table_A_2D,Table_B_2D,Table_C_2D,Table_A_3D,Table_B_3D,Table_C_3D,REBA_2D,REBA_3D,Error
1,1,0.0,0.04,-0.17,0.0,0.04,0.14,1.41,2.03,0.26,1.59,0.0,-0.04,-0.02,-0.43,0.0,-0.04,0.01,-0.47,2.93,0.22,-2.22,0.77,0.11,-0.84,1.41,2.03,0.26,1.59,-0.22,0.08,0.0,-0.43,1.11,0.22,0.03,-0.47,1.0,2.0,1.0,2.0,2.0,2.0,0,0.0,0.0
1,2,0.0,-0.31,-1.11,0.0,-0.31,-1.48,0.42,0.87,0.04,0.38,0.0,0.31,-1.42,0.32,0.0,0.31,1.41,0.9,-1.38,-0.13,-0.32,-0.59,-0.09,0.72,0.42,0.87,0.04,0.38,-0.0,-0.11,-0.07,0.32,-2.54,-0.07,-0.1,0.9,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
1,3,0.0,0.27,1.28,0.0,0.27,1.34,0.99,1.16,0.29,1.22,0.0,-0.27,1.44,0.11,0.0,-0.27,-1.42,-0.43,-1.55,-0.09,2.54,-0.18,-0.03,0.13,0.99,1.16,0.29,1.22,0.23,0.03,0.07,0.11,1.43,-0.15,0.07,-0.43,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
1,4,0.0,0.17,2.11,0.0,0.17,1.98,4.55,0.36,0.17,3.06,0.0,-0.17,1.98,0.16,0.0,-0.17,-1.87,-0.29,-0.43,-0.02,0.31,0.45,0.07,0.28,4.55,0.36,0.17,3.06,0.24,-0.01,0.06,0.16,0.65,-0.02,0.05,-0.29,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
1,5,0.0,0.25,-1.42,0.0,0.25,-1.54,3.56,2.31,0.03,2.45,0.0,-0.25,-1.68,0.19,0.0,-0.25,1.36,-0.21,-2.09,-0.08,1.51,-0.97,-0.14,-0.05,3.56,2.31,0.03,2.45,-1.09,-0.08,0.03,0.19,2.24,-0.19,0.07,-0.21,1.0,2.0,1.0,3.0,2.0,3.0,0,0.0,0.0
1,6,0.0,-1.59,165.49,0.0,-1.59,-36.21,4.33,13.24,2.1,0.16,0.0,1.59,39.03,-3.67,0.0,1.59,-31.94,-0.04,-13.47,39.98,-138.28,2.81,-1.89,17.74,4.33,13.24,2.1,0.16,11.06,3.82,0.13,-3.67,9.59,0.71,0.18,-0.04,1.0,2.0,1.0,4.0,2.0,4.0,0,1.0,-1.0
1,7,4.15,9.45,169.04,0.0,9.45,57.15,41.82,58.47,0.5,7.17,5.39,-9.45,58.5,8.08,5.12,-9.45,-50.67,-15.8,-22.77,-42.11,-172.93,-9.35,0.31,-10.55,41.82,58.47,0.5,7.17,-0.68,11.29,2.92,8.08,-8.68,3.13,-356.38,-15.8,1.0,2.0,1.0,5.0,2.0,4.0,0,1.0,-1.0
1,8,0.0,-0.16,-144.95,0.0,-0.16,54.45,13.94,17.19,1.46,4.76,0.0,0.16,-382.5,11.03,0.0,0.16,-39.1,-11.93,-12.64,19.14,174.81,12.3,13.68,-2.39,13.94,17.19,1.46,4.76,15.44,21.26,-0.17,11.03,6.19,3.32,-359.18,-11.93,1.0,2.0,1.0,,2.0,,0,,
1,9,0.0,4.99,-178.59,0.0,4.99,-88.05,43.47,33.27,32.74,6.13,0.0,-4.99,-391.28,-21.73,0.0,-4.99,390.91,20.1,-35.97,44.57,-143.68,19.32,-32.23,18.12,43.47,33.27,32.74,6.13,1.43,24.58,-4.99,-21.73,34.48,-23.29,-350.75,20.1,2.0,2.0,2.0,6.0,2.0,6.0,0,1.0,-1.0
1,10,0.0,0.0,0.0,0.0,40.18,-195.04,12.4,45.53,11.28,7.2,0.0,-40.18,-365.3,-30.38,0.0,-40.18,-25.3,14.91,0.0,0.0,0.0,-10.64,62.19,181.48,12.4,45.53,11.28,7.2,27.69,-44.44,7.19,-30.38,55.98,-60.13,-339.92,14.91,1.0,2.0,1.0,2.0,4.0,3.0,0,0.0,0.0
