frame,time_qtm_s,time_rs_s,torso_alpha_deg,torso_beta_deg,torso_gamma_deg,neck_alpha_deg,neck_beta_deg,neck_gamma_deg,shoulderR_alpha_deg,shoulderR_beta_deg,shoulderR_gamma_deg,elbowR_deg
1,0,25.627,0.995542136366036,0.589872478692356,-174.528270541511,99.2719831104198,12.65815798576,-5.16577648971741,3.43839045763779,7.56042597264628,-41.2644898735258,156.319115398954
2,0.01,25.637,1.00569757009247,0.592699832778732,-174.52819922916,99.2795734658993,12.610445614346,-5.19035673214972,3.45103928288116,7.55948173230659,-41.2488404089929,156.336588384301
3,0.02,25.647,0.991391984257724,0.587372793161805,-174.524985169965,99.3058794599661,12.6127932295887,-5.17772499843299,3.43592558982726,7.54480997813874,-41.2577082208801,156.329439818075
4,0.03,25.657,0.97276399676502,0.585599187409361,-174.541347215533,99.3526095765499,12.623903614862,-5.18754051760722,3.42947983377327,7.53243613643037,-41.2871570573114,156.20841200927
5,0.04,25.667,0.977869205315712,0.592216578155197,-174.561963677174,99.3544175269379,12.6187717071217,-5.20266786140025,3.45421889386385,7.54245847440815,-41.2850137541637,156.198589700955
6,0.05,25.677,0.983224712502703,0.596506367673403,-174.564697203578,99.3340380758815,12.605072710254,-5.19641140349494,3.47116952001164,7.55063005973187,-41.2878662943568,156.17631447986
7,0.06,25.687,0.987506815929772,0.60733571893493,-174.580052285174,99.3532995480897,12.6035751303575,-5.20188647432669,3.48350430609278,7.55379458443976,-41.3080863839549,156.190402113124
8,0.07,25.697,0.965807287223499,0.598058367908005,-174.569693025925,99.3607356453022,12.5748624081229,-5.23572859831139,3.45894588959021,7.54454844551514,-41.2573873257201,156.169988368174
9,0.08,25.707,0.952680587732897,0.599870989118852,-174.575416958567,99.3400630426299,12.5535299926664,-5.23404301672302,3.43841644590254,7.53435765619509,-41.3239068171334,156.202663108048
10,0.09,25.717,0.960005732901026,0.608577491557406,-174.589660630107,99.3286879418731,12.5479759094516,-5.27369669266839,3.46473814013866,7.54681364874228,-41.2762533958301,156.208647074721
11,0.1,25.727,0.943286913408488,0.614301792811991,-174.583209255697,99.3278502562821,12.5251508009582,-5.27847873925031,3.43427899647261,7.54891080112592,-41.2943580713809,156.22899772099
12,0.11,25.737,0.925691591288934,0.613524878481131,-174.592300303995,99.3226982531595,12.5478418315438,-5.29716980253236,3.42218592136496,7.54486299756108,-41.2955018616483,156.220735710712
13,0.12,25.747,0.940853713966509,0.622792817372642,-174.584518980073,99.2676138916696,12.5225179986606,-5.29627177641022,3.43315074075113,7.55575345497386,-41.2718531447368,156.217661809091
14,0.13,25.757,0.93297265717952,0.623449465981825,-174.618472939842,99.2313131700518,12.5415372255742,-5.28931413720751,3.45533401259009,7.57474653271703,-41.2525206836843,156.169566805937
15,0.14,25.767,0.938581243723449,0.639953811787649,-174.621738447571,99.2038815967972,12.5569664626014,-5.28605759588082,3.44785915710397,7.58230660064386,-41.2704372602057,156.204683399635
16,0.15,25.777,0.934048151039685,0.6364298161348,-174.622387290724,99.1998675037516,12.5003946367956,-5.30041700548385,3.44408865445015,7.57660363170749,-41.3112496235688,156.204931544857
