frame,timestamp_s,fps,2d_neck_alpha,2d_neck_beta,2d_neck_gamma,2d_trunk_alpha,2d_trunk_beta,2d_trunk_gamma,2d_right_shoulder_alpha,2d_right_shoulder_beta,2d_right_shoulder_gamma,2d_right_shoulder_elevation,2d_left_shoulder_alpha,2d_left_shoulder_beta,2d_left_shoulder_gamma,2d_left_shoulder_elevation,2d_right_elbow,2d_left_elbow,2d_right_knee,2d_left_knee,3d_neck_alpha,3d_neck_beta,3d_neck_gamma,3d_trunk_alpha,3d_trunk_beta,3d_trunk_gamma,3d_right_shoulder_alpha,3d_right_shoulder_beta,3d_right_shoulder_gamma,3d_right_shoulder_elevation,3d_left_shoulder_alpha,3d_left_shoulder_beta,3d_left_shoulder_gamma,3d_left_shoulder_elevation,3d_right_elbow,3d_left_elbow,3d_right_knee,3d_left_knee
1,0.066667,15,0.0000,0.0000,0.3730,0.0000,0.0000,0.0201,0.0000,0.0000,0.0729,0.0269,0.0000,0.0000,-3.9016,3.6914,0.1854,0.3516,1.7465,0.0436,-2.8819,-0.2595,2.8358,-2.4651,-0.0537,-1.9937,-0.8481,-0.0527,-0.4348,-2.9969,11.0666,5.1240,0.3461,1.9134,2.4720,12.7856,0.0000,0.0000
2,0.133333,15,0.0000,0.0000,0.3750,0.0000,0.0000,0.0242,0.0000,0.0000,0.0408,0.0408,0.0000,0.0000,-3.9068,3.6765,0.1853,0.3361,1.7244,0.0081,-5.8397,-4.6091,23.8292,0.4229,0.0401,3.0509,-1.2883,-2.3968,-0.5110,0.3432,-0.8709,-1.9197,-1.3846,5.1428,0.1546,7.0053,0.0000,0.0000
3,0.200000,15,0.0000,0.0000,0.3459,0.0000,0.0000,0.0190,0.0000,0.0000,0.0351,0.0451,0.0000,0.0000,-3.8722,3.6718,0.1775,0.3420,0.0160,0.0331,-0.1913,-1.8332,13.8827,-0.5571,0.0047,3.1360,0.7098,-1.1747,-0.1702,-2.4009,0.5052,-1.4484,-1.4692,3.2699,1.6674,4.8552,0.0000,0.0000
4,0.266667,15,0.0000,0.0000,0.4129,0.0000,0.0000,0.0181,0.0000,0.0000,1.0397,0.0610,0.0000,0.0000,-3.8432,3.6746,1.0574,0.1335,0.0588,0.0158,0.3725,0.1880,5.0259,0.5983,0.0400,-0.1670,-5.8847,-2.3152,-1.2102,-0.3126,1.1870,0.7403,-0.6573,2.9103,6.5802,9.2878,0.0000,0.0000
5,0.333333,15,0.0000,0.0000,0.3273,0.0000,0.0000,0.0105,0.0000,0.0000,0.0523,0.0161,0.0000,0.0000,-3.8731,3.6933,0.1654,0.1336,1.7070,0.0214,-5.3738,-4.2131,3.1298,-2.4665,-0.0632,2.8278,-3.9601,-3.7832,-1.2102,-3.0072,1.2241,-1.0583,-1.8650,4.8501,6.0207,1.5307,0.0000,0.0000
6,0.400000,15,0.0000,0.0000,0.2975,0.0000,0.0000,0.0132,0.0000,0.0000,0.0211,0.0394,0.0000,0.0000,0.1109,-0.0286,0.1830,0.0915,1.7220,0.0325,-15.4529,-7.7128,0.3160,-2.6571,-0.0667,1.4215,-5.0092,-3.7131,-1.1012,0.9009,-0.6492,-1.2537,-0.9888,4.2988,3.5961,3.0980,0.0000,0.0000
7,0.466667,15,0.0000,0.0000,0.3208,0.0000,0.0000,0.0105,0.0000,0.0000,0.0557,0.0162,0.0000,0.0000,-3.8848,3.6972,0.1788,0.1732,0.0235,0.0516,-4.0478,2.1369,4.2220,0.4243,0.0269,-7.4411,-19.0301,-4.6465,-2.7708,3.3085,8.3754,6.6316,1.0093,3.0281,13.5160,8.5735,0.0000,0.0000
8,0.533333,15,0.0000,0.0000,0.3345,0.0000,0.0000,0.0230,0.0000,0.0000,1.1237,0.0469,0.0000,0.0000,-3.8812,3.6855,1.1754,0.0403,3.2381,0.0174,-8.8083,-3.5885,20.0663,-2.0632,-0.0384,-0.5844,-8.5209,-3.2733,-1.9148,-0.0072,1.3326,0.9548,-1.2623,5.5303,4.2025,1.6801,0.0000,0.0000
9,0.600000,15,0.0000,0.0000,0.3314,0.0000,0.0000,0.0267,0.0000,0.0000,0.0172,0.0336,0.0000,0.0000,-3.8761,3.6749,0.1484,0.0451,3.1453,0.0443,-4.6317,-2.7601,1.8833,-1.1339,-0.0056,0.9462,-12.6265,-7.1188,-2.7450,2.7905,-2.2876,-1.2584,-1.7674,7.0989,7.0189,0.5122,0.0000,0.0000
10,0.666667,15,0.0000,0.0000,0.2533,0.0000,0.0000,0.0291,0.0000,0.0000,0.0660,0.0396,0.0000,0.0000,-3.9142,3.6731,0.2172,0.3660,1.6984,0.0260,-4.6945,2.1289,-13.9542,-3.5457,-0.0787,-7.7788,-17.3057,-4.1110,-3.0207,-0.7043,15.4979,8.3779,1.4609,2.0952,6.9031,18.5800,0.0000,0.0000
11,0.733333,15,0.0000,0.0000,0.1621,0.0000,0.0000,0.0244,0.0000,0.0000,1.1159,0.0251,0.0000,0.0000,-3.9239,3.6720,1.1142,2.5873,1.7700,0.0553,3.4999,6.8590,-23.6432,-2.4662,-0.0497,-13.3536,-15.5552,0.0720,-1.9549,-0.2225,22.3707,11.1483,2.8872,-1.6240,4.2564,21.5301,0.0000,0.0000
12,0.800000,15,0.0000,0.0000,0.2139,0.0000,0.0000,0.0221,0.0000,0.0000,1.1073,0.0176,0.0000,0.0000,-3.9221,3.6908,1.0950,0.3073,1.7475,0.0135,2.4991,1.8081,-7.8880,-0.5562,0.0070,-2.0120,-7.9929,-2.4440,-1.5892,-1.0315,7.6255,4.0466,0.1758,2.4046,2.3083,5.6960,0.0000,0.0000
13,0.866667,15,0.0000,0.0000,0.1699,0.0000,0.0000,0.0260,0.0000,0.0000,0.0564,0.0220,0.0000,0.0000,-3.9069,3.6692,0.2085,0.3058,0.0343,0.0948,-3.5514,4.3268,4.1642,-2.1025,-0.0368,-11.5299,-23.7299,-3.5594,-3.2107,5.3301,8.6042,8.2825,1.1547,3.8469,6.7854,5.6094,0.0000,0.0000
14,0.933333,15,0.0000,0.0000,0.1991,0.0000,0.0000,0.0175,0.0000,0.0000,0.0851,0.0057,0.0000,0.0000,-3.9307,3.7005,0.0655,0.3457,0.0091,0.0032,-10.3449,-2.5366,-16.3547,-6.4306,-0.1778,-3.1335,-20.5943,-7.8210,-4.8158,4.4877,-5.6234,0.0944,-3.1014,10.0591,10.1228,1.9354,0.0000,0.0000
15,1.000000,15,0.0000,0.0000,0.2340,0.0000,0.0000,0.0293,0.0000,0.0000,0.0308,0.0419,0.0000,0.0000,-3.8920,3.6650,0.2014,0.1846,1.7802,0.0055,-6.9044,4.8999,-25.5880,-5.4710,-0.1376,-13.7987,-40.1260,-4.1864,-5.2502,6.5715,2.3745,8.0797,0.3617,4.9434,22.7171,5.7662,0.0000,0.0000
16,1.066667,15,0.0000,0.0000,0.1884,0.0000,0.0000,0.0186,0.0000,0.0000,0.0286,0.0387,0.0000,0.0000,-3.8609,3.6750,0.1987,0.1142,1.7805,0.0555,-6.9433,-0.8635,-5.1501,-2.6625,-0.0617,-4.0177,-8.0971,-2.7298,-1.6878,0.9006,0.1198,2.4425,-1.0806,4.9898,2.0994,4.5404,0.0000,0.0000
17,1.133333,15,0.0000,0.0000,0.1851,0.0000,0.0000,0.0100,0.0000,0.0000,0.1035,0.0095,0.0000,0.0000,-3.8665,3.6852,0.2897,0.1475,0.0127,0.0023,-12.3616,3.5361,-13.2858,-3.7261,-0.1022,-13.5736,-29.9059,-3.3294,-3.8411,5.0245,9.6566,9.1266,1.3432,3.3645,14.1045,5.9007,0.0000,0.0000
18,1.200000,15,0.0000,0.0000,0.2194,0.0000,0.0000,0.0154,0.0000,0.0000,0.0424,0.0271,0.0000,0.0000,-3.9027,3.6755,2.9963,0.2058,1.7407,0.0032,-15.2286,0.6625,-9.3198,-6.9324,-0.1953,-10.0411,-28.4988,-5.5439,-5.0081,0.6969,6.5248,6.9374,-0.0136,4.1688,5.8143,8.2403,0.0000,0.0000
19,1.266667,15,0.0000,0.0000,0.2333,0.0000,0.0000,0.0196,0.0000,0.0000,0.0237,0.0435,0.0000,0.0000,-3.8642,3.6732,3.0035,0.1339,3.0991,0.0077,-3.7707,2.3711,-19.7285,-2.6608,-0.0605,-7.7629,-22.5165,-5.4726,-3.7228,3.7057,5.2874,5.8195,0.1723,4.9892,1.6243,8.4708,0.0000,0.0000
20,1.333333,15,0.0000,0.0000,0.2128,0.0000,0.0000,0.0129,0.0000,0.0000,0.0523,0.0202,0.0000,0.0000,-3.8892,3.6831,0.2342,0.1500,3.1622,0.0379,-7.5066,-4.1106,-12.9224,-4.1675,-0.1132,0.9821,-9.7705,-5.8748,-2.5420,-1.1169,-5.6713,-2.6089,-3.2280,7.3533,8.7927,14.6049,0.0000,0.0000
21,1.400000,15,0.0000,0.0000,0.2424,0.0000,0.0000,0.0237,0.0000,0.0000,0.0597,0.0178,0.0000,0.0000,-3.8853,3.6899,0.1990,0.1427,1.6924,0.0580,-12.2265,-6.0338,-13.8062,-5.4974,-0.1437,0.9733,0.6849,0.0093,-0.2790,-4.0452,3.0599,0.5855,-2.0925,6.0779,7.6113,3.1469,0.0000,0.0000
